REINFORCE,BBO,TRS Error Bar,BBO Error Bar
2.01481,0.1087,0.0502989,0.0590991
1.9747,0.194478,0.0469753,0.0500345
2.09127,0.175473,0.0479788,0.0457013
2.0647,0.16041,0.0475177,0.0489583
2.05302,0.199233,0.0480985,0.0657864
2.04257,0.197846,0.0489643,0.045635
2.02662,0.140706,0.0488298,0.061857
2.04103,0.124582,0.0500653,0.0675842
2.06289,0.253499,0.0493701,0.0392601
2.07459,0.160723,0.0491811,0.0593077
2.04692,0.183373,0.0487641,0.054188
2.04227,0.24372,0.0488218,0.0572617
1.99781,0.0545874,0.0478568,0.080199
2.10312,0.196794,0.0473698,0.0486183
2.04411,0.214739,0.0467313,0.0455507
2.09361,0.147828,0.0516051,0.0508934
2.03164,0.241302,0.0498165,0.0550839
2.1086,0.271108,0.0482917,0.0402007
2.09909,0.188519,0.0500249,0.0490063
2.01641,0.143593,0.0465217,0.0515682
2.08479,0.111621,0.0475929,0.0607273
2.13842,0.217202,0.0474816,0.0530386
2.05586,0.186831,0.0522443,0.0625454
2.051,0.203949,0.0496516,0.0482779
2.0777,0.258922,0.0496818,0.0415653
2.14012,0.158959,0.0491997,0.0590929
2.10463,0.106051,0.0476953,0.0657698
2.077,0.185624,0.048431,0.0439716
2.09147,0.16076,0.0485177,0.0560059
2.06659,0.209877,0.0468202,0.0568646
2.11752,0.198134,0.0488344,0.0529211
2.09916,0.227932,0.0487009,0.0384763
2.09171,0.182582,0.047882,0.0584102
2.12105,0.233027,0.0469464,0.0510857
2.08095,0.191081,0.0482483,0.0571113
2.15966,0.178993,0.0481692,0.0529243
2.13532,0.182718,0.0479702,0.0608873
2.1192,0.276117,0.0487693,0.0488535
2.03318,0.126864,0.046424,0.0638724
2.15727,0.19517,0.0481936,0.0457418
2.16073,0.224469,0.0495241,0.0386977
2.18811,0.28643,0.0475388,0.0558378
2.1928,0.241627,0.0478262,0.0554254
2.16687,0.19318,0.0483473,0.0631155
2.14181,0.165159,0.0478765,0.0560575
2.15318,0.176143,0.0497688,0.0601093
2.18802,0.1766,0.0506263,0.0573083
2.09971,0.191532,0.0494825,0.0640055
2.11711,0.230649,0.0488252,0.0485512
2.11131,0.159508,0.047536,0.053678
2.23155,0.212139,0.0479604,0.047614
2.15035,0.145158,0.0476389,0.064912
2.17524,0.221949,0.0489411,0.0411205
2.15944,0.237802,0.0488151,0.057969
2.17145,0.193238,0.047747,0.0535602
2.14331,0.185069,0.0480961,0.0607812
2.15329,0.285103,0.0481379,0.0476566
2.20385,0.1976,0.0504422,0.0614481
2.1782,0.249687,0.0486633,0.0541501
2.13439,0.167503,0.0496175,0.0666162
2.23773,0.247499,0.0479975,0.056908
2.165,0.207207,0.0492185,0.0621784
2.23061,0.189253,0.0480435,0.0600273
2.18097,0.161522,0.0485339,0.0723692
2.15375,0.27045,0.0511048,0.0557301
2.15553,0.256647,0.046571,0.0560846
2.26239,0.13783,0.0477173,0.0587244
2.15882,0.267347,0.0483955,0.0571556
2.24055,0.213182,0.0482648,0.0447736
2.14495,0.202771,0.0494363,0.0676935
2.19281,0.144685,0.0487834,0.0574534
2.2362,0.254889,0.048543,0.0655672
2.21551,0.102674,0.0505256,0.083796
