REINFORCE,BBO,TRS Error Bar,BBO Error Bar
2.59414,0.181092,0.0502484,0.0484571
2.64388,0.219909,0.0521432,0.0406628
2.5443,0.215643,0.0505438,0.0575366
2.59985,0.24805,0.0504337,0.0354659
2.63039,0.194076,0.0488956,0.0494945
2.59338,0.257382,0.0499239,0.0444497
2.58416,0.189321,0.0492391,0.0473639
2.60623,0.17978,0.0518224,0.0506609
2.58914,0.246847,0.0490135,0.0442155
2.57845,0.219474,0.0514,0.0503889
2.61084,0.23534,0.0502765,0.0485533
2.63006,0.164462,0.0496138,0.0534854
2.58074,0.238955,0.0520291,0.0531191
2.63733,0.195926,0.0498318,0.056145
2.63197,0.198665,0.0492697,0.0482295
2.64645,0.145997,0.0498094,0.0790214
2.66943,0.249883,0.0517754,0.0457767
2.65258,0.242227,0.0498892,0.0398474
2.62047,0.257272,0.049803,0.0399712
2.58594,0.163548,0.0507214,0.0514637
2.61111,0.229979,0.0497626,0.0439146
2.6458,0.165883,0.0495445,0.0646395
2.63644,0.0453797,0.0514497,0.0794618
2.57493,0.233164,0.049405,0.050471
2.6435,0.108596,0.0499333,0.0666254
2.68426,0.260912,0.0498184,0.0353547
2.66589,0.195129,0.0496009,0.0433837
2.67398,0.0566629,0.0490968,0.0908285
2.68147,0.170092,0.0493301,0.0620804
2.69339,0.232656,0.0508169,0.0447363
2.6,0.1985,0.0511841,0.0527352
2.71398,0.20353,0.0488703,0.0488397
2.61663,0.164024,0.0504067,0.0544236
2.67339,0.210152,0.049715,0.0525391
2.68532,0.255848,0.0520927,0.044344
2.67326,0.208174,0.0496403,0.0595822
2.65152,0.269035,0.0512064,0.0545128
2.63121,0.088613,0.0503987,0.0811475
2.66446,0.240533,0.0506279,0.0427233
2.6856,0.302856,0.0499151,0.0412078
2.70724,0.192637,0.0490187,0.0510429
2.67729,0.24538,0.0501539,0.053051
2.64227,0.235894,0.0501328,0.0604352
2.67801,0.141473,0.0487488,0.0560486
2.67825,0.257753,0.0515909,0.0360646
2.68962,0.269116,0.0503697,0.0464453
2.66875,0.294095,0.0497972,0.0436106
2.70671,0.308252,0.0498042,0.0406897
2.71348,0.236334,0.0496357,0.0604625
2.68433,0.205672,0.0482221,0.0512253
2.72762,0.226297,0.0497515,0.0533678
2.68277,0.228198,0.0494101,0.052281
2.69371,0.267093,0.0497014,0.0562555
2.75688,0.165,0.0505176,0.0594671
2.66965,0.19446,0.0524423,0.0681782
2.68572,0.309857,0.0499141,0.048539
2.70254,0.220012,0.0510876,0.0515502
2.78348,0.271985,0.0489714,0.0534503
2.6763,0.17679,0.0495384,0.0662967
2.64695,0.241588,0.0530947,0.0498521
2.69963,0.213482,0.0503482,0.0494568
2.70537,0.166988,0.0498369,0.0729556
2.66564,0.246074,0.049337,0.0443972
2.7152,0.280595,0.050431,0.0408779
2.74505,0.175329,0.0505087,0.0579005
2.73854,0.266432,0.0504272,0.0591511
2.71961,0.262181,0.0497604,0.0554247
2.73098,0.227573,0.0513037,0.0616207
2.69396,0.253864,0.0520177,0.0546528
2.68483,0.291345,0.0513053,0.0515068
2.71051,0.301593,0.049088,0.052494
2.68239,0.324433,0.0511153,0.0512811
2.72744,0.301527,0.0497971,0.0521601
2.67942,0.345659,0.0495512,0.0425348
2.66453,0.239017,0.0498385,0.0605445
2.74055,0.32017,0.0510652,0.0381653
2.69716,0.202669,0.0510443,0.0502206
2.83941,0.315092,0.04846,0.0373871
2.73331,0.263569,0.0512152,0.0434484
2.73653,0.197521,0.0502187,0.0678964
2.6812,0.372411,0.0491502,0.0411596
2.7388,0.327307,0.0501063,0.0444829
2.73164,0.307529,0.0534856,0.0404454
2.74841,0.287964,0.0527297,0.0675978
2.74005,0.275584,0.0490819,0.0502075
2.78167,0.301894,0.0508253,0.0491926
2.77126,0.261879,0.0494081,0.0540181
2.7764,0.340359,0.0504092,0.0471742
2.75834,0.297935,0.0494504,0.061073
2.84681,0.278133,0.0499447,0.0598498
2.74506,0.245528,0.0491,0.0629863
2.7317,0.259204,0.0516508,0.0502192
2.7918,0.33278,0.049525,0.0532413
2.77137,0.285372,0.0502445,0.0431946
2.77669,0.283933,0.0498573,0.0553643
2.74573,0.318405,0.0491585,0.069186
2.7751,0.308166,0.0498059,0.0469132
2.80787,0.312502,0.0499634,0.0606892
2.75843,0.340936,0.0496896,0.0479254
2.80063,0.262402,0.0505366,0.0623803
2.82089,0.262192,0.0501834,0.0579408
2.8196,0.288038,0.0492078,0.0551178
2.79413,0.251778,0.0503185,0.0708393
2.76027,0.307467,0.0589968,0.0631518
2.76846,0.281291,0.0505352,0.0531244
2.78775,0.189037,0.0494818,0.0682271
2.75379,0.290288,0.0517305,0.0527012
2.79044,0.310026,0.0494819,0.0497941
2.8063,0.335214,0.0512561,0.0573229
2.73062,0.354903,0.0495978,0.0403637
2.79522,0.223591,0.0487786,0.0655324
2.74935,0.272609,0.0482347,0.0766478
2.7883,0.357662,0.0490275,0.04835
2.82221,0.342815,0.0525404,0.0555182
2.82194,0.415137,0.0496653,0.0446459
2.81574,0.355575,0.0499834,0.0445567
2.81728,0.281913,0.0497435,0.061199
2.81291,0.284254,0.0491821,0.0491985
2.79654,0.351748,0.0496821,0.0473221
2.78748,0.327909,0.0519541,0.0534106
2.82898,0.27126,0.0501776,0.0760561
2.78062,0.275246,0.0490701,0.058764
2.81586,0.333141,0.0493954,0.0498674
2.80027,0.365929,0.0500888,0.0513648
2.85094,0.351402,0.0491917,0.048747
2.81486,0.333971,0.049475,0.0536224
2.83927,0.37418,0.049524,0.0418821
2.89743,0.340923,0.0487227,0.0516443
2.78903,0.369393,0.0493348,0.0558495
2.83431,0.403801,0.0495361,0.0377582
2.79912,0.349957,0.0480851,0.0574095
2.7938,0.382733,0.053054,0.0585958
2.83991,0.314917,0.0503268,0.0552488
2.85897,0.282267,0.0495075,0.0611709
2.82863,0.279194,0.0524468,0.0698973
2.83039,0.351518,0.0493351,0.04752
2.79834,0.358774,0.0511341,0.0465132
2.7933,0.346145,0.0489284,0.0501639
2.85987,0.25041,0.0488548,0.0657668
2.86634,0.303916,0.0491279,0.0646364
2.89909,0.40762,0.0484056,0.0512754
2.85811,0.465249,0.0496998,0.0446408
2.88345,0.311271,0.0484517,0.0570308
2.93426,0.276994,0.0485706,0.0662259
2.8784,0.391899,0.0499093,0.0487994
2.87722,0.278452,0.0493749,0.066481
2.91312,0.238306,0.0510981,0.0673226
2.87085,0.376087,0.0493316,0.0485831
2.90207,0.328397,0.0493836,0.0621598
2.85985,0.453684,0.0492174,0.0427933
2.90146,0.425214,0.0486299,0.0554979
2.87502,0.398876,0.0494082,0.0646757
2.8048,0.333849,0.0497413,0.0599376
2.85068,0.458749,0.0483784,0.0484079
2.8492,0.422084,0.0482554,0.0595879
2.87278,0.376407,0.0492003,0.0679444
2.84603,0.345534,0.0493519,0.0573467
2.88556,0.388155,0.0504521,0.0521736
2.87804,0.354331,0.0485453,0.0733716
2.89978,0.359162,0.0503959,0.0544007
2.88012,0.337974,0.0499448,0.0644241
2.89606,0.343514,0.050675,0.0596311
2.87472,0.392148,0.0500084,0.0607218
2.83477,0.352421,0.0521488,0.0694593
